Team
India
Bangladesh
West Indies
South africa
England
New Zealand
Afghanistan
Canada
Pakistan
Namibia
Scotland
Papua New Guinea
Australia
Nepal
Sri Lanka
Ireland
Netherlands
United States of America
Uganda
Pakistan
Oman
United States of America
Oman
